tool_slug,official_pricing_source,http_status,source_response,prices_found_count,prices_found,page_title,manual_plan_validation
zeemo,https://zeemo.ai/pricing,200,yes,7,US$0 /mo | US$9.99/mo | US$8 /mo | US$19.99/mo | US$13.39 /mo | US$23.99/mo | US$16.07 /mo,Pricing - Affordable Plan for Video Subtitling | Zeemo AI,required
zubtitle,https://zubtitle.com/pricing,200,yes,16,$0 /mo | $19 /mo | $190 | $49 /mo | $490 | $0 /yr | $190 /yr | $38 | $490 /yr | $98 | $0 per mo | $19 per mo | $90/yr | $18 | $49 per mo | $490/yr,Pricing - Zubtitle,required
checksub,https://www.checksub.com/pricing,200,yes,9,$18 /month | $59 /month | $299/month | $12 /month | $144/year | $48 /month | $576/year | $144 /year | $576 /year,Checksub Pricing - Get More From Your Videos,required
amberscript,https://www.amberscript.com/en/pricing/,200,yes,16,€19 / month | €3.8 / hour | €29 / month | €2.9 / hour | €49 / month | €1.96 / hour | €190 / year | €3.16 / hour | €290 / year | €2.41 / hour | €490 / year | €1.63 / hour | €10 | €10 / hour | €1.85/min | €4.40/min,Pricing — Transcription & Subtitling | Amberscript,required
vidiq,https://vidiq.com/plans/,200,yes,4,$0 | $0 /month | $39 /month | $120,"Pricing & Plans Boost, 1-on-1 Coaching & Enterprise | vidIQ",required
1of10,https://1of10.com:443/pricing,200,yes,7,$ 0 per month | $ 29 per month | $ 349 /year | $ 239 | $ 69 per month | $ 828 /year | $ 240,Pricing â Simple & Transparent Plans | 1of10,required
spotter-studio,https://www.spotterstudio.com/pricing,401,no,0,,Protected page,required
taja-ai,https://www.taja.ai/pricing,200,yes,9,$ 19.99 /MONTH | $ 49.99 /Month | $ 99.99 /Month | $ 15.99 /month | $ 39.99 /month | $ 79.99 /month | $19 /month | $49 /month | $99 /month,Taja AI Pricing,required
viewstats,https://www.viewstats.com/pricing,200,yes,1,$249 / mo,YouTube Channel Statistics - Viewstats,required
tuberanker,https://www.tuberanker.com/pricing,403,no,0,,Just a moment...,required
nexlev,https://www.nexlev.io/pricing,200,yes,0,,NexLev Pricing - Powerful Niche Finder for YouTube,required
metricool,https://metricool.com/pricing/,200,yes,24,€0/month | €16/month | €29/month | €43/month | €69/month | €130 | $0/month | $20/month | $36/month | $53/month | $85/month | $159/month | €20/month | €37/month | €54/month | €87/month | €172/month | $25/month | $45/month | $67/month | $107/month | $210/month | $10/month | $25,Metricool Pricing ▷ Find The Best Plan,required
ocoya,https://www.ocoya.com/pricing,200,yes,4,$15 /month | $39 /month | $79 /month | $159 /month,Pricing | Ocoya,required
publer,https://publer.com/plans,200,yes,0,,Social Media Management Plans for All Needs | Publer Pricing,required
buffer,https://buffer.com/pricing,502,no,0,,502 Bad Gateway,required
socialbee,https://socialbee.com/pricing/,200,yes,42,$14.50/month | $29 | $594 per year | $ 24 | $ 40 | $ 82 | $ 29 per month | $ 49 per month | $ 99 per month | $0 | $89.50/month | $179 | $2694 per year | $ 149 | $ 274 | $ 374 | $ 179 per month | $ 329 per month | $ 449 per month | $29/ month | $49/ month | $99/ month | $14.50 / month | $24.50 / month | $49.50/ month | $290/ year | $490/ year | $990/ year | $174 | $294 | $594 | $10 / mo | $100 / yr | $15 / mo | $150 / yr | $290/year | $490/year | $990/year | $10/mo | $100/yr | $15/mo | $150/yr,SocialBee Pricing & Plans | Social Media Management Package,required
blotato,https://www.blotato.com/pricing,200,yes,6,$500 | $29 /mo | $97 /mo | $499 /mo | $30 | $29/MONTH,"Blotato Pricing: Plans, Credits & Free Trial",required
gumloop,https://www.gumloop.com/pricing,200,yes,3,$50 | $ 37 / month | $37 / month,Pricing | Gumloop,required
lindy,https://www.lindy.ai/pricing,200,yes,4,"$8,00 | $49 | $99 | $199",Pricing - Lindy,required
simplified,https://simplified.com/pricing,200,yes,11,"$5,00 | $3,00 | $8,00 | $50 | $150 per hour | $79 | $79/mo | $59/mo | $20/mo | $800/mo | $10",Simplified Pricing: Plans for Your AI Agent Team | Simplified,required
predisai,https://predis.ai/pricing/,200,yes,16,"$ 212 /month | $249 | $2,54 | $99/month | $29/month | $ 40 /month | $79 | $474 | $5/month | $25/month | $ 19 /month | $32 | $230 | $19/ month | $40/ month | $212/ month",Predis Pricing | How much does Predis cost?,required
notebooklm,https://one.google.com/about/google-ai-plans/,200,yes,6,$10 | $10/mo | $40 | $20/mo | $8/mo | $100,Google AI plans with Cloud Storage - Google One,required
streamyard,https://streamyard.com/pricing,200,yes,5,$44 | $35 | $88 | $68 | $0/month,StreamYard - Plans & Pricing,required
restream,https://restream.io/pricing,200,yes,16,"$ 0 | $ 19 /mo | $ 16 /mo | $190 per year | $ 49 /mo | $ 39 /mo | $470 per year | $ 29 /mo | $ 239 /mo | $ 199 /mo | $2,39 | $ 59 /mo | $ 0 / mo | $25 | $49 | $239",Pricing Plans | Restream,required
streamlabs,https://streamlabs.com/pricing,200,yes,0,,,required
ecamm-live,https://appg2.ecamm.com/users/pricingplans,200,yes,4,$16/mo | $192 | $32/mo | $384,Ecamm Pricing - Ecamm Network,required
streamelements,https://streamelements.com/pricing,200,yes,0,,StreamElements,required
wonder-studio,https://www.autodesk.com/products/flow-studio,403,no,0,,Access Denied,required
move-ai,https://move.ai/pricing,404,no,0,,404 - Page not found,required
cascadeur,https://cascadeur.com/plans,200,yes,14,"$ 0 | $ 19 per month | $ 8 per month | $100 | $ 49 per month | $ 33 per month | $ 49 | $ 33 | $0 | $96 | $19 | $396 | $49 | $100,00",Cascadeur Pricing Plans,required
plask,https://plask.ai/en-US/pricing,200,yes,2,$18/month | $50/month,Pricing | Plask Motion,required
rokoko-video,https://www.rokoko.com/pricing,200,yes,11,$ 0 | $ 10 | $ 20 | $ 50 | $ 100 | $ 12 | $ 28 | $ 70 | $ 150 | $20 | $50,Rokoko Software Ecosystem Plans & Prices,required
spline-ai,https://spline.design/pricing,200,yes,8,$ 12 | $ 20 | $ 5 | $0 / month | $ 12 / mo | $ 15 | $ 20 / mo | $ 25,Spline Pricing - Interactive 3D experiences in real-time in the browser,required
meshy,https://www.meshy.ai/pricing,200,yes,5,$0 | $20/mo | $240 | $60/mo | $576,"Meshy Official Pricing: Free, Pro, Studio & Enterprise Plans",required
deepmotion,https://www.deepmotion.com/pricing,200,yes,0,,Pricing | DeepMotion AI Motion Capture | Animate 3D,required
kaedim,https://www.kaedim3d.com/plans,200,yes,4,"$50 | $100 | $400 /month | $1,20",Kaedim | AI-Powered 3D Asset Production For Studios & Brands,required
tripo-ai,https://www.tripo3d.ai/pricing,200,yes,10,$ 0 | $ 13 | $ 19 | $167.16/year | $ 53 | $ 89 | $647.28/year | $ 54 | $ 109 | $1978.2/year,Tripo Studio Pricing | Generate High-Quality 3D Models with AI,required
